Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterHeaterTotalDemandHeatTransferRate,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory9ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory10ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,3.65513e+09,8.90257e+08,2.61328e+09,0,9.6419e+08,568.017,34066.5,9142.08,16633.5,76296,12620.6,95944.5,21969.3,70722.4,-16462,0,320932.9,-16462.0,337394.9,568.0
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,0,0,1.22224e+09,0,0,564.483,169686,61923,91962.8,382429,68033.4,444750,145945,299858,-5365.55,0,1659221.7,-5365.6,1664587.2,564.5
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,4.70016e+09,1.0882e+09,2.9144e+09,0,1.19016e+09,560.971,34093.9,8751.73,16677.5,96117.8,11487.2,113704,22176.9,72420.7,-17454.9,0,357974.8,-17454.9,375429.7,561.0
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,0,0,1.22224e+09,0,0,557.481,49128.3,0,3709.17,75844.3,0,146277,0,137646,-1247.47,0,411357.3,-1247.5,412604.8,557.5
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,0,2.59586e+09,6.86274e+08,2.3165e+09,0,6.95752e+08,554.013,24014.3,5440.36,17991.7,59077.2,10772,67608.2,0,57814.2,-15197.8,0,227520.2,-15197.8,242718.0,554.0
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,0,0,0,1.22224e+09,0,0,550.567,49499.8,1848.88,4657.6,71757.1,5870.18,150175,0,140368,0,0,424176.6,0,424176.6,550.6
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,0,2.47623e+09,6.78549e+08,2.31435e+09,0,6.14565e+08,547.143,21837.7,1253.09,17229.1,49991.9,7488.41,60354.6,0,55952.4,-14768.7,0,199338.5,-14768.7,214107.2,547.1
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,5.38161e+07,6.18908e+06,1.30401e+09,0,1.35687e+07,543.74,95822.1,14350.8,44469,195962,27406.3,273314,0,216062,0,0,867386.2,0,867386.2,543.7
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,2.71375e+09,7.76952e+08,2.52444e+09,0,7.08731e+08,7471.06,25245.3,865.287,6478.03,44929.6,4256.49,85992.3,0,60341.4,-16331.4,0,211777.0,-16331.4,228108.4,7471.1
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,3.41206e+08,2.70147e+08,1.77048e+09,0,0,4990.63,57124.2,0,0,59878.2,0,174980,-13554,141074,-37326.2,0,382176.2,-50880.2,433056.4,4990.6
01/01/2017 11:00,1,1,0,11,0,39600,0,82,0,2.44311e+09,8.08979e+08,2.57146e+09,0,5.29937e+08,4988.17,19678.5,0,302.985,30038.4,0,71721.9,0,40875.6,-7872.13,-3849.88,150895.4,-11722.0,162617.4,4988.2
01/01/2017 12:00,1,1,0,12,0,43200,0,85,0,0,0,1.31324e+09,0,0,5005.23,79808.9,0,9024.87,124500,0,229768,-4453.8,151596,-33070.2,-18019.6,539154.2,-55543.6,594697.8,5005.2
01/01/2017 13:00,1,1,0,13,0,46800,0,89,0,2.93136e+09,1.077e+09,2.94831e+09,0,5.60344e+08,4984.64,21760.8,0,659.546,32872.8,0,79901.9,-14447.4,40690.3,-6410.24,-13740.9,141286.8,-34598.5,175885.3,4984.6
01/01/2017 14:00,1,1,0,14,0,50400,0.6,85,0,0,0,1.31324e+09,0,0,5001.43,68573.4,0,0,62566.7,0,195291,-17873.5,131943,-48437,0,392063.6,-66310.5,458374.1,5001.4
