Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterSystemsEnergyTransfer,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,WaterHeaterHeatingRate_BuildingStory1ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,WaterHeaterHeatingRate_BuildingStory1ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,WaterHeaterHeatingRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,WaterHeaterHeatingRate_BuildingStory1ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,WaterHeaterHeatingRate_BuildingStory1ThermalZone4,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,0,0,1.75404e+07,0,1.95335e+07,0,0,0,786.789,0,1990.16,0,803.581,0,2012.29,0,5592.8,0,5592.8,0.0
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,0,0,1.69086e+07,0,1.95258e+07,0,0,0,1167.74,0,2989.16,0,1218.23,0,3060.53,0,8435.7,0,8435.7,0.0
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,0,0,1.66461e+07,0,1.12271e+07,0,0,0,852.041,0,2151.27,0,885.855,0,2206.77,0,6095.9,0,6095.9,0.0
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,0,0,1.75144e+07,0,1.61101e+07,0,0,0,678.463,0,1642.21,0,676.596,0,1635.98,0,4633.2,0,4633.2,0.0
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,0,0,0,1.69052e+07,0,1.93121e+07,0,0,0,1164.47,0,2962.76,0,1202.11,0,3019.41,0,8348.8,0,8348.8,0.0
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,0,0,0,1.66399e+07,0,1.04874e+07,0,0,0,798.265,0,2017.48,0,828.788,0,2043.75,0,5688.3,0,5688.3,0.0
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,0,0,0,2.24196e+07,0,1.8562e+07,0,0,0,725.558,0,1895.39,0,752.56,0,1933.42,0,5306.9,0,5306.9,0.0
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,0,0,2.17918e+07,0,1.92232e+07,0,0,0,1166.24,0,2966.98,0,1193.14,0,2973.69,0,8300.1,0,8300.1,0.0
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,0,0,1.03808e+07,0,1.07429e+07,0,0,0,796.868,0,2090.67,0,843.509,0,2097.68,0,5828.7,0,5828.7,0.0
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,0,0,1.08784e+07,0,1.33785e+07,0,0,0,493.75,0,1418.99,0,561.357,0,1389.11,0,3863.2,0,3863.2,0.0
01/01/2017 11:00,1,1,0,11,0,39600,0,82,0,0,0,9.93417e+06,0,9.28836e+06,0,0,0,600.538,0,1844.09,0,767.823,0,1857.47,0,5069.9,0,5069.9,0.0
01/01/2017 12:00,1,1,0,12,0,43200,0,85,0,0,0,1.07322e+07,0,1.13501e+07,0,0,0,372.899,0,1268.32,0,521.366,0,1340.7,0,3503.3,0,3503.3,0.0
01/01/2017 13:00,1,1,0,13,0,46800,0,89,0,0,0,1.07044e+07,0,9.41958e+06,0,0,0,204.399,0,891.684,0,451.744,0,1129.86,0,2677.7,0,2677.7,0.0
01/01/2017 14:00,1,1,0,14,0,50400,0.6,85,0,0,0,9.57553e+06,0,4.32387e+06,0,0,0,230.314,0,823.494,0,454.718,0,1146.77,0,2655.3,0,2655.3,0.0
