Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterHeaterTotalDemandHeatTransferRate,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,2.21352e+09,4.77691e+08,2.1199e+09,0,2.21658e+08,12671.8,64932,0,-13052.2,51879.8,-13052.2,64932.0,12671.8
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,8.64267e+07,0,1.37787e+09,0,0,12668.9,202205,0,-41817.1,160387.9,-41817.1,202205.0,12668.9
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,2.18592e+09,4.7795e+08,2.11992e+09,0,2.11194e+08,12662.5,62137.3,0,-14086.5,48050.8,-14086.5,62137.3,12662.5
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,5.16985e+07,0,1.37937e+09,0,0,12653.2,201877,0,-77615.6,124261.4,-77615.6,201877.0,12653.2
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,0,2.20342e+09,4.79804e+08,2.12594e+09,0,2.59309e+08,12662.1,75543.6,0,-19574.7,55968.9,-19574.7,75543.6,12662.1
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,0,4.39324e+07,0,1.3787e+09,0,0,12679.9,180871,0,-70842.5,110028.5,-70842.5,180871.0,12679.9
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,0,2.15715e+09,4.79809e+08,2.13104e+09,0,2.51365e+08,12664.2,73247.6,0,-20153.3,53094.3,-20153.3,73247.6,12664.2
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,7.15837e+07,0,1.40029e+09,0,0,12659.6,200769,0,-61346.4,139422.6,-61346.4,200769.0,12659.6
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,1.82638e+09,3.64415e+08,2.3777e+09,0,2.14709e+08,15082,63026.2,0,-28775.8,34250.4,-28775.8,63026.2,15082.0
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,1.25266e+09,2.05154e+08,2.21245e+09,0,0,17457.8,46576.3,0,0,46576.3,0,46576.3,17457.8
01/01/2017 11:00,1,1,0,11,0,39600,0,82,0,1.67565e+09,3.35538e+08,2.37717e+09,0,1.13148e+08,19846.1,34914.3,0,0,34914.3,0,34914.3,19846.1
01/01/2017 12:00,1,1,0,12,0,43200,0,85,0,1.22278e+09,2.07074e+08,2.2267e+09,0,0,19896.4,38859.3,0,0,38859.3,0,38859.3,19896.4
01/01/2017 13:00,1,1,0,13,0,46800,0,89,0,1.54482e+09,3.32082e+08,2.37176e+09,0,5.65016e+07,19878.1,18284.5,0,0,18284.5,0,18284.5,19878.1
01/01/2017 14:00,1,1,0,14,0,50400,0.6,85,0,1.19742e+09,2.20262e+08,2.24207e+09,0,0,19902.5,146.449,0,-36870.4,-36724.0,-36870.4,146.4,19902.5
01/01/2017 15:00,1,1,0,15,0,54000,0.6,89,0,1.15521e+09,2.16676e+08,2.23947e+09,0,0,19874.7,4361.4,0,-37064,-32702.6,-37064.0,4361.4,19874.7
01/01/2017 16:00,1,1,0,16,0,57600,0.6,89,0,1.16244e+09,2.16469e+08,2.25362e+09,0,0,19902.7,12389.9,0,-34877.1,-22487.2,-34877.1,12389.9,19902.7
01/01/2017 17:00,1,1,0,17,0,61200,0.6,89,0,9.51926e+08,2.41827e+08,1.73022e+09,0,1.03984e+08,19805.2,49138.8,0,-30632.3,18506.5,-30632.3,49138.8,19805.2
01/01/2017 18:00,1,1,0,18,0,64800,0,92,0,3.89762e+07,0,1.417e+09,0,0,17474.3,143079,0,-88066.4,55012.6,-88066.4,143079.0,17474.3
01/01/2017 19:00,1,1,0,19,0,68400,-0.6,92,0,2.08974e+09,4.77725e+08,2.13011e+09,0,2.01461e+08,12755.1,57968.3,0,-19351.2,38617.1,-19351.2,57968.3,12755.1
01/01/2017 20:00,1,1,0,20,0,72000,-0.6,89,0,7.3991e+07,0,1.38669e+09,0,0,12666.1,160628,0,-41270.7,119357.3,-41270.7,160628.0,12666.1
01/01/2017 21:00,1,1,0,21,0,75600,-1.1,92,0,2.16648e+09,4.78008e+08,2.12918e+09,0,1.91427e+08,12662.7,56015.8,0,-13476.1,42539.7,-13476.1,56015.8,12662.7
01/01/2017 22:00,1,1,0,22,0,79200,-1.1,89,0,8.5282e+07,0,1.38779e+09,0,0,12649,177872,0,-44648.3,133223.7,-44648.3,177872.0,12649.0
01/01/2017 23:00,1,1,0,23,0,82800,-1.1,85,0,2.31641e+09,4.7826e+08,2.1337e+09,0,2.47035e+08,12665.8,71957.8,0,-12874.4,59083.4,-12874.4,71957.8,12665.8
01/02/2017 00:00,1,2,1,0,0,86400,-1.1,89,0,1.02346e+08,0,1.38799e+09,0,0,12679.8,198864,0,-38395,160469.0,-38395.0,198864.0,12679.8
01/02/2017 01:00,1,2,1,1,0,90000,-1.7,85,0,2.12333e+09,4.77735e+08,2.22045e+09,0,2.14657e+08,12675.7,62800.6,0,-17128.7,45671.9,-17128.7,62800.6,12675.7
01/02/2017 02:00,1,2,1,2,0,93600,-1.7,89,0,1.35647e+08,0,1.47876e+09,0,0,12671.1,245228,0,-71494.5,173733.5,-71494.5,245228.0,12671.1
01/02/2017 03:00,1,2,1,3,0,97200,-1.7,89,0,2.194e+09,4.75394e+08,2.21871e+09,0,2.58801e+08,12667,75550.6,0,-17309.2,58241.4,-17309.2,75550.6,12667.0
01/02/2017 04:00,1,2,1,4,0,100800,-1.1,89,0,9.99246e+07,0,1.4828e+09,0,0,12678.5,231669,0,-86535.9,145133.1,-86535.9,231669.0,12678.5
01/02/2017 05:00,1,2,1,5,0,104400,-0.6,59,0,2.15812e+09,4.7996e+08,2.22459e+09,0,2.41834e+08,12679.6,70511.4,0,-23761.2,46750.2,-23761.2,70511.4,12679.6
01/02/2017 06:00,1,2,1,6,0,108000,-1.1,89,0,9.45651e+07,0,1.47868e+09,0,0,12681.5,230057,0,-95057.9,134999.1,-95057.9,230057.0,12681.5
01/02/2017 07:00,1,2,1,7,0,111600,-1.1,89,0,2.17245e+09,4.80444e+08,2.24505e+09,0,2.56152e+08,12678.4,74925.5,0,-25801.2,49124.3,-25801.2,74925.5,12678.4
01/02/2017 08:00,1,2,1,8,0,115200,-1.1,89,0,7.36209e+08,1.90234e+08,2.74069e+09,0,0,18580.5,94150.7,0,-11011.2,83139.5,-11011.2,94150.7,18580.5
01/02/2017 09:00,1,2,1,9,0,118800,-1.1,89,0,7.80423e+08,2.28989e+08,3.53649e+09,0,1.28403e+08,23536.7,38909.3,0,-90594.2,-51684.9,-90594.2,38909.3,23536.7
01/02/2017 10:00,1,2,1,10,0,122400,-0.6,89,0,5.82072e+08,2.47864e+08,3.53896e+09,0,7.42248e+06,26062,2076.41,0,-146595,-144518.6,-146595.0,2076.4,26062.0
01/02/2017 11:00,1,2,1,11,0,126000,-0.6,89,0,4.95528e+08,2.47696e+08,3.558e+09,0,0,29784.3,0,-1598.96,-151557,-153156.0,-153156.0,0,29784.3
01/02/2017 12:00,1,2,1,12,0,129600,0,85,0,3.83668e+08,2.64538e+08,3.58285e+09,0,0,31101.9,0,-20721.8,-158854,-179575.8,-179575.8,0,31101.9
01/02/2017 13:00,1,2,1,13,0,133200,0,82,0,3.54792e+08,2.64875e+08,3.56162e+09,0,0,27722.9,0,-50709.7,-209482,-260191.7,-260191.7,0,27722.9
01/02/2017 14:00,1,2,1,14,0,136800,0,85,0,3.23917e+08,2.64742e+08,3.58293e+09,0,0,31038.8,0,-55228.1,-210444,-265672.1,-265672.1,0,31038.8
01/02/2017 15:00,1,2,1,15,0,140400,0,89,0,2.70004e+08,2.64586e+08,3.57532e+09,0,0,29878.8,0,-62982,-214332,-277314.0,-277314.0,0,29878.8
01/02/2017 16:00,1,2,1,16,0,144000,0,89,0,2.81058e+08,2.64392e+08,3.57044e+09,0,0,28624.8,0,-67912.5,-214428,-282340.5,-282340.5,0,28624.8
01/02/2017 17:00,1,2,1,17,0,147600,0,89,0,1.14021e+09,2.65415e+08,2.50971e+09,0,0,25231.5,0,-16016.1,-69412.6,-85428.7,-85428.7,0,25231.5
01/02/2017 18:00,1,2,1,18,0,151200,-0.6,89,0,1.2505e+09,2.49029e+08,2.53005e+09,0,2.60808e+07,18434.5,7179.61,0,-57003,-49823.4,-57003.0,7179.6,18434.5
01/02/2017 19:00,1,2,1,19,0,154800,-0.6,92,0,1.27284e+09,2.48717e+08,2.49912e+09,0,3.7246e+07,15237.9,10284.4,-10220.1,-96997.5,-96933.2,-107217.6,10284.4,15237.9
01/02/2017 20:00,1,2,1,20,0,158400,-1.1,89,0,1.30534e+09,2.35236e+08,2.49771e+09,0,6.23242e+07,15184.4,17325,-4764.73,-94554.4,-81994.1,-99319.1,17325.0,15184.4
01/02/2017 21:00,1,2,1,21,0,162000,-1.7,92,0,1.3125e+09,2.18237e+08,2.46536e+09,0,6.22093e+07,15186.6,17140,-6539,-91970.6,-81369.6,-98509.6,17140.0,15186.6
01/02/2017 22:00,1,2,1,22,0,165600,-1.7,85,0,1.36664e+09,2.17863e+08,2.47171e+09,0,8.92149e+07,13450.8,24643.9,0,-88578,-63934.1,-88578.0,24643.9,13450.8
01/02/2017 23:00,1,2,1,23,0,169200,-2.2,82,0,1.04493e+09,3.45511e+08,2.46213e+09,0,1.13304e+08,12688,56878.3,0,-42623.2,14255.1,-42623.2,56878.3,12688.0
01/03/2017 00:00,1,3,2,0,0,172800,-2.2,82,0,0,0,1.48803e+09,0,0,12663.5,208374,0,-204008,4366.0,-204008.0,208374.0,12663.5
01/03/2017 01:00,1,3,2,1,0,176400,-2.8,78,0,1.89609e+09,4.79355e+08,2.2255e+09,0,2.24474e+08,12683.6,64549.8,0,-33746.8,30803.0,-33746.8,64549.8,12683.6
01/03/2017 02:00,1,3,2,2,0,180000,-2.8,78,0,0,0,1.48056e+09,0,0,12695.8,195210,0,-154161,41049.0,-154161.0,195210.0,12695.8
01/03/2017 03:00,1,3,2,3,0,183600,-3.3,81,0,1.78166e+09,4.78134e+08,2.2199e+09,0,2.27239e+08,12698.4,65309.6,0,-31928.5,33381.1,-31928.5,65309.6,12698.4
01/03/2017 04:00,1,3,2,4,0,187200,-3.3,78,0,2.75459e+07,0,1.47873e+09,0,0,12679.4,224160,0,-115573,108587.0,-115573.0,224160.0,12679.4
01/03/2017 05:00,1,3,2,5,0,190800,-3.9,75,0,2.06234e+09,4.81305e+08,2.22385e+09,0,2.47068e+08,12682.4,72360,0,-30606.7,41753.3,-30606.7,72360.0,12682.4
01/03/2017 06:00,1,3,2,6,0,194400,-4.4,78,0,7.46048e+07,0,1.48293e+09,0,0,12685.1,253077,0,-111430,141647.0,-111430.0,253077.0,12685.1
01/03/2017 07:00,1,3,2,7,0,198000,-4.4,71,0,2.10439e+09,4.76694e+08,2.24199e+09,0,2.68609e+08,12693.7,80823.8,0,-25522.2,55301.6,-25522.2,80823.8,12693.7
01/03/2017 08:00,1,3,2,8,0,201600,-4.4,75,0,6.70606e+08,1.06698e+08,2.65117e+09,0,0,18616.9,115232,0,-12390.4,102841.6,-12390.4,115232.0,18616.9
01/03/2017 09:00,1,3,2,9,0,205200,-5,81,0,7.69068e+08,1.16651e+08,3.4206e+09,0,1.45212e+08,23541.5,43369.9,0,-50081,-6711.1,-50081.0,43369.9,23541.5
01/03/2017 10:00,1,3,2,10,0,208800,-5.6,81,0,5.84081e+08,1.05526e+08,3.39336e+09,0,2.02691e+07,26101.6,5430.99,-21506.4,-194517,-210592.4,-216023.4,5431.0,26101.6
01/03/2017 11:00,1,3,2,11,0,212400,-5,71,0,6.22952e+08,1.21982e+08,3.43129e+09,0,3.60094e+07,29842.7,9934.67,-23653.2,-199474,-213192.5,-223127.2,9934.7,29842.7
01/03/2017 12:00,1,3,2,12,0,216000,-5,74,0,4.82928e+08,1.21831e+08,3.43549e+09,0,0,31101.5,0,-33532.6,-206091,-239623.6,-239623.6,0,31101.5
01/03/2017 13:00,1,3,2,13,0,219600,-5,63,0,4.6707e+08,1.21863e+08,3.422e+09,0,0,27772.5,0,-37896.7,-206472,-244368.7,-244368.7,0,27772.5
01/03/2017 14:00,1,3,2,14,0,223200,-5.6,68,0,4.66471e+08,1.05011e+08,3.41395e+09,0,0,31084.7,0,-41050.8,-207132,-248182.8,-248182.8,0,31084.7
01/03/2017 15:00,1,3,2,15,0,226800,-6.1,68,0,4.10841e+08,9.07598e+07,3.4018e+09,0,0,29922.5,0,-47916,-212101,-260017.0,-260017.0,0,29922.5
01/03/2017 16:00,1,3,2,16,0,230400,-6.1,65,0,4.68096e+08,9.04842e+07,3.38885e+09,0,0,28659.1,0,-49196.5,-209251,-258447.5,-258447.5,0,28659.1
01/03/2017 17:00,1,3,2,17,0,234000,-6.7,68,0,1.2886e+09,7.46122e+07,2.31461e+09,0,8.51585e+07,25256,23507.6,0,-64954.6,-41447.0,-64954.6,23507.6,25256.0
01/03/2017 18:00,1,3,2,18,0,237600,-7.2,68,0,1.40711e+09,6.04993e+07,2.34168e+09,0,1.36997e+08,18440.2,37847.6,0,-51709.3,-13861.7,-51709.3,37847.6,18440.2
01/03/2017 19:00,1,3,2,19,0,241200,-7.2,71,0,1.45088e+09,6.10761e+07,2.30548e+09,0,1.57843e+08,15254.7,43857.7,0,-90123.9,-46266.2,-90123.9,43857.7,15254.7
01/03/2017 20:00,1,3,2,20,0,244800,-7.8,71,0,1.39369e+09,4.20439e+07,2.29827e+09,0,1.5102e+08,15205.6,41893.7,0,-95365.2,-53471.5,-95365.2,41893.7,15205.6
01/03/2017 21:00,1,3,2,21,0,248400,-7.8,71,0,1.46888e+09,4.34335e+07,2.28846e+09,0,1.69876e+08,15207.8,47167,0,-88402.9,-41235.9,-88402.9,47167.0,15207.8
01/03/2017 22:00,1,3,2,22,0,252000,-8.9,62,0,1.56649e+09,4.03013e+07,2.29491e+09,0,1.85382e+08,13447.5,51317.8,0,-90009.6,-38691.8,-90009.6,51317.8,13447.5
01/03/2017 23:00,1,3,2,23,0,255600,-8.3,65,0,1.29156e+09,3.61834e+08,2.49044e+09,0,2.06208e+08,12710.8,74064.8,0,-42035.4,32029.4,-42035.4,74064.8,12710.8
01/04/2017 00:00,1,4,3,0,0,259200,-8.3,62,0,1.06191e+08,0,1.48777e+09,0,0,12687.7,325899,0,-200202,125697.0,-200202.0,325899.0,12687.7
01/04/2017 01:00,1,4,3,1,0,262800,-8.3,65,0,2.28286e+09,4.7796e+08,2.21958e+09,0,3.37018e+08,12685.8,103460,0,-33034.7,70425.3,-33034.7,103460.0,12685.8
01/04/2017 02:00,1,4,3,2,0,266400,-8.3,65,0,1.13132e+08,0,1.48184e+09,0,0,12693.4,273863,0,-132455,141408.0,-132455.0,273863.0,12693.4
01/04/2017 03:00,1,4,3,3,0,270000,-10,74,0,2.29331e+09,4.76521e+08,2.22126e+09,0,3.56674e+08,12701.3,112518,0,-29698.2,82819.8,-29698.2,112518.0,12701.3
01/04/2017 04:00,1,4,3,4,0,273600,-10.6,73,0,2.15082e+08,0,1.47892e+09,0,0,12705.5,340786,0,-114752,226034.0,-114752.0,340786.0,12705.5
01/04/2017 05:00,1,4,3,5,0,277200,-12.2,80,0,2.52882e+09,4.72576e+08,2.214e+09,0,4.08985e+08,12699.2,139492,0,-22748.5,116743.5,-22748.5,139492.0,12699.2
01/04/2017 06:00,1,4,3,6,0,280800,-12.2,80,0,2.71532e+08,0,1.47902e+09,0,0,12690.1,380723,0,-111422,269301.0,-111422.0,380723.0,12690.1
01/04/2017 07:00,1,4,3,7,0,284400,-12.8,70,0,2.68459e+09,4.72185e+08,2.23836e+09,0,4.69842e+08,12693.8,180389,0,-34396.6,145992.4,-34396.6,180389.0,12693.8
01/04/2017 08:00,1,4,3,8,0,288000,-13.3,66,0,1.2922e+09,0,2.46773e+09,0,0,18647.2,294575,0,0,294575.0,0,294575.0,18647.2
01/04/2017 09:00,1,4,3,9,0,291600,-12.2,70,0,1.49255e+09,2.36798e+07,3.31177e+09,0,2.79034e+08,23578.3,102405,0,0,102405.0,0,102405.0,23578.3
01/04/2017 10:00,1,4,3,10,0,295200,-8.9,59,0,6.58131e+08,4.01658e+07,3.32938e+09,0,4.33679e+07,26132.8,11981.9,-3633.12,-204478,-196129.2,-208111.1,11981.9,26132.8
01/04/2017 11:00,1,4,3,11,0,298800,-6.7,52,0,5.32943e+08,7.56872e+07,3.38592e+09,0,2.26647e+07,29856.4,6136.45,0,-161108,-154971.6,-161108.0,6136.5,29856.4
01/04/2017 12:00,1,4,3,12,0,302400,-5.6,50,0,5.04619e+08,1.04963e+08,3.41482e+09,0,0,31173.6,0,-22157.5,-206376,-228533.5,-228533.5,0,31173.6
01/04/2017 13:00,1,4,3,13,0,306000,-6.1,57,0,3.41314e+08,9.00336e+07,3.38866e+09,0,0,27778.8,0,-38402.8,-216083,-254485.8,-254485.8,0,27778.8
01/04/2017 14:00,1,4,3,14,0,309600,-5,57,0,3.92429e+08,1.21192e+08,3.43616e+09,0,0,31144.1,0,-36275.4,-210588,-246863.4,-246863.4,0,31144.1
01/04/2017 15:00,1,4,3,15,0,313200,-5.6,60,0,4.18194e+08,1.04397e+08,3.41172e+09,0,0,29940.2,0,-38505.3,-209316,-247821.3,-247821.3,0,29940.2
01/04/2017 16:00,1,4,3,16,0,316800,-6.1,57,0,4.73134e+08,9.06101e+07,3.39302e+09,0,0,28708.2,0,-38136.2,-206017,-244153.2,-244153.2,0,28708.2
01/04/2017 17:00,1,4,3,17,0,320400,-6.7,65,0,1.40163e+09,7.50289e+07,2.31586e+09,0,1.26657e+08,25294.8,35221.5,0,-55603.3,-20381.8,-55603.3,35221.5,25294.8
01/04/2017 18:00,1,4,3,18,0,324000,-6.7,54,0,1.51145e+09,7.6048e+07,2.35134e+09,0,1.81061e+08,18469.3,50251,0,-41007.3,9243.7,-41007.3,50251.0,18469.3
01/04/2017 19:00,1,4,3,19,0,327600,-7.2,59,0,1.51462e+09,6.1342e+07,2.3083e+09,0,1.82859e+08,15271,50596.5,0,-83841.8,-33245.3,-83841.8,50596.5,15271.0
01/04/2017 20:00,1,4,3,20,0,331200,-7.2,59,0,1.60344e+09,6.19365e+07,2.32109e+09,0,2.10551e+08,15216.6,58633.2,0,-80295.7,-21662.5,-80295.7,58633.2,15216.6
01/04/2017 21:00,1,4,3,21,0,334800,-7.2,57,0,1.71737e+09,6.20274e+07,2.30923e+09,0,2.33902e+08,15215.1,64793.7,0,-71397.2,-6603.5,-71397.2,64793.7,15215.1
01/04/2017 22:00,1,4,3,22,0,338400,-7.2,62,0,1.63922e+09,6.19346e+07,2.31056e+09,0,2.19882e+08,13469.8,60892.7,0,-77716.5,-16823.8,-77716.5,60892.7,13469.8
01/04/2017 23:00,1,4,3,23,0,342000,-6.7,57,0,1.39619e+09,3.5976e+08,2.48873e+09,0,2.31683e+08,12701,84758,0,-34723.4,50034.6,-34723.4,84758.0,12701.0
01/05/2017 00:00,1,5,4,0,0,345600,-6.7,57,0,1.17965e+08,0,1.49181e+09,0,0,12690.5,347265,0,-167436,179829.0,-167436.0,347265.0,12690.5
01/05/2017 01:00,1,5,4,1,0,349200,-6.7,60,0,2.26211e+09,4.77021e+08,2.22113e+09,0,3.0698e+08,12723.4,95441.8,0,-29086.4,66355.4,-29086.4,95441.8,12723.4
01/05/2017 02:00,1,5,4,2,0,352800,-6.1,60,0,1.14761e+08,0,1.47878e+09,0,0,12712.3,288709,0,-108253,180456.0,-108253.0,288709.0,12712.3
01/05/2017 03:00,1,5,4,3,0,356400,-6.1,60,0,2.31954e+09,4.75516e+08,2.21753e+09,0,3.37055e+08,12709.1,107497,0,-23897.8,83599.2,-23897.8,107497.0,12709.1
01/05/2017 04:00,1,5,4,4,0,360000,-6.7,65,0,1.71555e+08,0,1.47931e+09,0,0,12698.5,332073,0,-89012.1,243060.9,-89012.1,332073.0,12698.5
