Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterHeaterTotalDemandHeatTransferRate,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,0,0,1.53128e+08,0,0,118528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,118528.0
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,0,0,8.36954e+07,0,0,528.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,528.6
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,0,0,1.00521e+08,0,0,525.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,525.2
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,0,0,8.36953e+07,0,0,521.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,521.7
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,39631.2,2.79842e+08,0,1.41854e+08,0,5.85296e+07,518.191,0,2261.08,2905.98,0,1910.89,2792.35,0,1453.28,2131.47,1863.73,0,0,1510.43,0,0,16829.2,0,16829.2,518.2
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,21706.1,8.69635e+07,1.95852e+06,2.69402e+08,0,4.4665e+07,514.732,0,1535.01,2295.04,0,1527.44,2161.25,0,993.674,1371.46,1482.67,0,0,1053.97,0,-2527.47,9893.0,-2527.5,12420.5,514.7
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,19110.4,5.62753e+07,0,3.79087e+08,0,3.78097e+07,111698,0,1383.83,1836.27,0,1234.02,1741.5,0,903.372,1253.74,1192.81,0,0,960.228,0,-6065.36,4440.4,-6065.4,10505.8,111698.0
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,4.99445e+07,0,4.97648e+08,0,0,111824,0,0,0,-2066.93,0,0,-4735.76,0,0,0,0,0,0,0,-4268.9,-11071.6,-11071.6,0,111824.0
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,9.00209e+07,0,5.66421e+08,0,0,111755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,111755.0
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,1.89674e+08,0,5.67709e+08,0,770028,111764,0,0,68.0281,0,66.3834,0,0,0,0,79.2568,0,0,0,0,0,213.7,0,213.7,111764.0
01/01/2017 11:00,1,1,0,11,0,39600,0,82,0,1.63539e+08,0,7.68598e+08,0,0,135961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,135961.0
01/01/2017 12:00,1,1,0,12,0,43200,0,85,0,1.20357e+08,0,8.34116e+08,0,0,136133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,136133.0
01/01/2017 13:00,1,1,0,13,0,46800,0,89,0,1.01336e+08,0,7.51749e+08,0,0,129063,0,0,0,-1869.06,0,0,-3984.27,0,0,0,0,0,0,0,0,-5853.3,-5853.3,0,129063.0
01/01/2017 14:00,1,1,0,14,0,50400,0.6,85,0,9.49956e+07,0,7.51503e+08,0,0,129108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,129108.0
01/01/2017 15:00,1,1,0,15,0,54000,0.6,89,0,1.46364e+08,0,6.86001e+08,0,0,122076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,122076.0
01/01/2017 16:00,1,1,0,16,0,57600,0.6,89,0,1.73299e+08,0,6.78499e+08,0,0,122061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,122061.0
01/01/2017 17:00,1,1,0,17,0,61200,0.6,89,0,1.34875e+08,0,7.26086e+08,0,0,122063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,122063.0
01/01/2017 18:00,1,1,0,18,0,64800,0,92,0,9.97944e+07,0,8.08687e+08,0,0,128939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,128939.0
01/01/2017 19:00,1,1,0,19,0,68400,-0.6,92,0,1.13201e+08,0,7.74818e+08,0,0,136084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,136084.0
01/01/2017 20:00,1,1,0,20,0,72000,-0.6,89,0,1.307e+08,0,7.33664e+08,0,0,136204,0,0,0,-323.273,0,0,-2902.06,0,0,0,0,0,0,0,0,-3225.3,-3225.3,0,136204.0
01/01/2017 21:00,1,1,0,21,0,75600,-1.1,92,0,1.25949e+08,0,7.32825e+08,0,0,128988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,128988.0
01/01/2017 22:00,1,1,0,22,0,79200,-1.1,89,0,2.12266e+08,0,6.83716e+08,0,0,136044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,136044.0
01/01/2017 23:00,1,1,0,23,0,82800,-1.1,85,0,2.71853e+08,0,4.83228e+08,0,1.5397e+07,129124,0,723.133,625.87,0,447.345,486.969,0,481.898,570.444,410.808,0,0,528.89,0,0,4275.4,0,4275.4,129124.0
01/02/2017 00:00,1,2,1,0,0,86400,-1.1,89,0,2.78439e+08,0,3.31385e+08,0,2.12772e+07,115208,0,922.609,923.543,0,634.211,792.411,0,606.198,776.557,599.284,0,0,653.747,0,0,5908.6,0,5908.6,115208.0
01/02/2017 01:00,1,2,1,1,0,90000,-1.7,85,0,0,0,1.39923e+08,0,0,115210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,115210.0
01/02/2017 02:00,1,2,1,2,0,93600,-1.7,89,0,0,0,8.36954e+07,0,0,528.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,528.5
01/02/2017 03:00,1,2,1,3,0,97200,-1.7,89,0,0,0,1.00521e+08,0,0,525.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,525.2
01/02/2017 04:00,1,2,1,4,0,100800,-1.1,89,0,0,0,8.36953e+07,0,0,521.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,521.7
