Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterHeaterTotalDemandHeatTransferRate,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,0,0,1.7545e+07,0,2.96969e+07,16.4117,1871.9,1761.79,4809.36,4613.03,781.523,13837.6,0,13837.6,16.4
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,0,0,1.70726e+07,0,2.01424e+07,16.3707,1428.88,1340.2,3666.44,3534.23,727.888,10697.6,0,10697.6,16.4
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,0,0,1.74881e+07,0,2.42803e+07,16.3299,1375.83,1298.79,3575.52,3420.25,583.576,10254.0,0,10254.0,16.3
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,0,0,1.84198e+07,0,3.87341e+07,16.2891,1515.93,1427.01,3880.57,3749.16,352.451,10925.1,0,10925.1,16.3
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,0,0,0,1.76114e+07,0,3.17535e+07,16.2485,2031.18,1911.1,5139.71,4967.9,810.053,14859.9,0,14859.9,16.2
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,0,0,0,1.83739e+07,0,3.5985e+07,16.208,1410.31,1319.8,3568.04,3459.65,395.592,10153.4,0,10153.4,16.2
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,0,0,0,2.26953e+07,0,3.38512e+07,16.1675,1846.73,1776.11,4762.12,4622.41,740.933,13748.3,0,13748.3,16.2
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,0,0,2.2331e+07,0,2.76013e+07,16.1272,1622.73,1561.71,4173.17,4081.45,732.069,12171.1,0,12171.1,16.1
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,0,0,1.09608e+07,0,1.7568e+07,16.0869,1254.13,1173.99,3198.66,3176.35,573.548,9376.7,0,9376.7,16.1
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,0,0,1.13609e+07,0,2.12447e+07,16.0468,1238.92,1108.2,3135.88,3095.59,387.155,8965.7,0,8965.7,16.0
01/01/2017 11:00,1,1,0,11,0,39600,0,82,0,0,0,1.22415e+07,0,3.31923e+07,16.0068,1305.14,1141.3,3307.45,3254.01,359.996,9367.9,0,9367.9,16.0
01/01/2017 12:00,1,1,0,12,0,43200,0,85,0,0,0,1.15222e+07,0,2.74509e+07,15.9669,1559.52,1302.55,3978.58,3824.04,436.238,11100.9,0,11100.9,16.0
01/01/2017 13:00,1,1,0,13,0,46800,0,89,0,0,0,1.156e+07,0,2.23441e+07,15.927,1167.45,886.896,3014.69,2735.16,46.1382,7850.3,0,7850.3,15.9
01/01/2017 14:00,1,1,0,14,0,50400,0.6,85,0,0,0,1.15335e+07,0,2.01332e+07,15.8873,1084.37,842.147,2819.89,2481.8,0,7228.2,0,7228.2,15.9
01/01/2017 15:00,1,1,0,15,0,54000,0.6,89,0,0,0,1.1529e+07,0,1.9753e+07,15.8477,1066.17,856.946,2775.26,2393.01,0,7091.4,0,7091.4,15.8
01/01/2017 16:00,1,1,0,16,0,57600,0.6,89,0,0,0,1.15459e+07,0,2.10284e+07,15.8082,1132.34,953.75,2953.8,2512.97,46.6309,7599.5,0,7599.5,15.8
01/01/2017 17:00,1,1,0,17,0,61200,0.6,89,0,0,0,1.11964e+07,0,1.90252e+07,15.7687,1210.53,1065.32,3142.75,2722.62,210.874,8352.1,0,8352.1,15.8
01/01/2017 18:00,1,1,0,18,0,64800,0,92,0,0,0,2.1877e+07,0,1.42048e+07,15.7294,1040.16,943.107,2714.61,2508.28,386.088,7592.2,0,7592.2,15.7
01/01/2017 19:00,1,1,0,19,0,68400,-0.6,92,0,0,0,2.23298e+07,0,2.10942e+07,15.6902,1188.24,1076.3,3089.4,2875.49,676.045,8905.5,0,8905.5,15.7
01/01/2017 20:00,1,1,0,20,0,72000,-0.6,89,0,0,0,2.32317e+07,0,3.49021e+07,15.651,1320.86,1219.71,3411.4,3236.05,646.406,9834.4,0,9834.4,15.7
01/01/2017 21:00,1,1,0,21,0,75600,-1.1,92,0,0,0,2.26405e+07,0,3.22756e+07,15.612,1770.46,1655.47,4535.45,4331.11,785.34,13077.8,0,13077.8,15.6
01/01/2017 22:00,1,1,0,22,0,79200,-1.1,89,0,0,0,2.2291e+07,0,2.60943e+07,15.7956,1532.29,1442.87,3936.03,3781.61,802.706,11495.5,0,11495.5,15.8
01/01/2017 23:00,1,1,0,23,0,82800,-1.1,85,0,0,0,2.19373e+07,0,1.79615e+07,16.4052,1242.22,1173.07,3220,3105.78,871.998,9613.1,0,9613.1,16.4
01/02/2017 00:00,1,2,1,0,0,86400,-1.1,89,0,0,0,2.23505e+07,0,2.29761e+07,16.3643,1271.25,1182.15,3288.2,3147.13,807.905,9696.6,0,9696.6,16.4
01/02/2017 01:00,1,2,1,1,0,90000,-1.7,85,0,0,0,2.43076e+07,0,3.39292e+07,16.3235,1374.86,1296.93,3517.87,3390.63,0,9580.3,0,9580.3,16.3
01/02/2017 02:00,1,2,1,2,0,93600,-1.7,89,0,0,0,2.35062e+07,0,2.89749e+07,16.2827,1932.78,1825.76,4880.57,4739.37,81.9111,13460.4,0,13460.4,16.3
01/02/2017 03:00,1,2,1,3,0,97200,-1.7,89,0,0,0,2.30051e+07,0,1.78686e+07,16.2421,1366.79,1286.98,3458.77,3357.34,0,9469.9,0,9469.9,16.2
01/02/2017 04:00,1,2,1,4,0,100800,-1.1,89,0,0,0,2.34306e+07,0,2.24621e+07,16.2016,1350.15,1290.91,3478.1,3373.24,0,9492.4,0,9492.4,16.2
01/02/2017 05:00,1,2,1,5,0,104400,-0.6,59,0,0,0,2.43627e+07,0,3.7042e+07,16.1612,1497.55,1427.92,3807.8,3710.93,0,10444.2,0,10444.2,16.2
01/02/2017 06:00,1,2,1,6,0,108000,-1.1,89,0,0,0,2.50633e+07,0,2.858e+07,16.1208,1903.69,1820.14,4807.65,4685.95,0,13217.4,0,13217.4,16.1
01/02/2017 07:00,1,2,1,7,0,111600,-1.1,89,0,0,0,3.57698e+07,0,1.40653e+08,16.0806,10079,7461.46,18640.4,14640.8,79695.2,130516.9,0,130516.9,16.1
01/02/2017 08:00,1,2,1,8,0,115200,-1.1,89,0,0,0,4.04292e+07,0,1.40978e+08,949.007,6290.61,5807.29,15053.8,13853.8,36816.3,77821.8,0,77821.8,949.0
01/02/2017 09:00,1,2,1,9,0,118800,-1.1,89,0,0,0,5.2671e+07,0,1.3349e+08,1052.09,5637.57,4729.41,12019.4,10638,32081,65105.4,0,65105.4,1052.1
