Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterSystemsEnergyTransfer,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,WaterHeaterHeatingRate_BuildingStory1ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,WaterHeaterHeatingRate_BuildingStory1ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,WaterHeaterHeatingRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,WaterHeaterHeatingRate_BuildingStory1ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,WaterHeaterHeatingRate_BuildingStory1ThermalZone4,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
1/1/17 1:00,1,1,0,1,0,3600,-0.6,89,0,0,0,1.41E+07,0,1.74E+07,0,0,0,1037.25,0,1458.46,0,1054.19,0,1385.71,0,4935.6,0,4935.6,12671.8
1/1/17 2:00,1,1,0,2,0,7200,-0.6,89,0,0,0,1.36E+07,0,1.02E+07,0,0,0,1156.14,0,1622.94,0,1171.29,0,1553.63,0,5504,0,5504,12668.9
1/1/17 3:00,1,1,0,3,0,10800,-1.1,85,0,0,0,1.41E+07,0,1.38E+07,0,0,0,846.063,0,1167.05,0,851.026,0,1095.16,0,3959.3,0,3959.3,12662.5
1/1/17 4:00,1,1,0,4,0,14400,-1.1,92,0,0,0,1.36E+07,0,1.01E+07,0,0,0,1141.16,0,1612.2,0,1155.95,0,1549.32,0,5458.6,0,5458.6,12653.2
1/1/17 5:00,1,1,0,5,0,18000,-1.1,89,0,0,0,1.41E+07,0,1.55E+07,0,0,0,929.86,0,1300.72,0,944.801,0,1246.86,0,4422.2,0,4422.2,12662.1
1/1/17 6:00,1,1,0,6,0,21600,-0.6,85,0,0,0,1.36E+07,0,1.03E+07,0,0,0,1157.44,0,1641.4,0,1172.84,0,1584.55,0,5556.2,0,5556.2,12679.9
1/1/17 7:00,1,1,0,7,0,25200,-0.6,89,0,0,0,1.83E+07,0,1.54E+07,0,0,0,917.77,0,1288.01,0,932.625,0,1251.91,0,4390.3,0,4390.3,12664.2
1/1/17 8:00,1,1,0,8,0,28800,-0.6,85,0,0,0,1.78E+07,0,1.12E+07,0,0,0,1261.27,0,1783.72,0,1269.73,0,1741.75,0,6056.5,0,6056.5,12659.6
1/1/17 9:00,1,1,0,9,0,32400,-1.1,89,0,0,0,9.00E+06,0,1.45E+07,0,0,0,893.701,0,1226.17,0,890.872,0,1131.89,0,4142.6,0,4142.6,15082
1/1/17 10:00,1,1,0,10,0,36000,-0.6,89,0,0,0,8.13E+06,0,8.77E+06,0,0,0,1068.59,0,1457.01,0,1026.05,0,1217.26,0,4768.9,0,4768.9,17457.8
