Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterHeaterTotalDemandHeatTransferRate,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,0,0,1.42825e+07,0,2.68663e+07,13.5205,2059.25,2983.86,643.966,2836.06,2108.81,10631.9,0,10631.9,13.5
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,0,0,1.38346e+07,0,1.5635e+07,13.4927,1610.12,2324.78,576.589,2215.77,1643.2,8370.5,0,8370.5,13.5
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,0,0,1.46183e+07,0,2.21644e+07,13.4649,1179,1777.81,475.009,1641.63,1240.4,6313.8,0,6313.8,13.5
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,0,0,1.42564e+07,0,2.50697e+07,13.4373,1988.61,2868.56,311.769,2738.31,2020.86,9928.1,0,9928.1,13.4
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,0,0,0,1.38311e+07,0,1.52004e+07,13.4096,1591.12,2288.97,463.942,2200.21,1618.11,8162.4,0,8162.4,13.4
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,0,0,0,1.46168e+07,0,2.1638e+07,13.3821,1205.37,1767.5,293.432,1674.3,1229.24,6169.8,0,6169.8,13.4
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,0,0,0,1.84975e+07,0,2.66384e+07,13.3546,2057.74,2963.01,586.571,2858.25,2089.09,10554.7,0,10554.7,13.4
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,0,0,1.80492e+07,0,1.53052e+07,13.3271,1597.54,2286.81,485.537,2212.05,1609.74,8191.7,0,8191.7,13.3
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,0,0,9.6147e+06,0,2.32462e+07,13.2997,1273.48,1851.45,485.758,1733.61,1273.42,6617.7,0,6617.7,13.3
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,0,0,9.00803e+06,0,1.75554e+07,13.2724,1626.97,2343.49,310.713,2089.88,1618.4,7989.5,0,7989.5,13.3
01/01/2017 11:00,1,1,0,11,0,39600,0,82,0,0,0,8.77709e+06,0,1.0796e+07,13.2451,1153.64,1664.29,236.446,1450.41,1164.57,5669.4,0,5669.4,13.2
01/01/2017 12:00,1,1,0,12,0,43200,0,85,0,0,0,9.60616e+06,0,2.19793e+07,13.2179,1263.1,1847.01,280.066,1545.47,1307.16,6242.8,0,6242.8,13.2
01/01/2017 13:00,1,1,0,13,0,46800,0,89,0,0,0,8.77957e+06,0,1.13831e+07,13.1907,1247.95,1912.13,28.6972,1431.59,1386.24,6006.6,0,6006.6,13.2
01/01/2017 14:00,1,1,0,14,0,50400,0.6,85,0,0,0,9.52632e+06,0,1.44283e+07,13.1636,831.378,1314.19,0,997.006,954.071,4096.6,0,4096.6,13.2
01/01/2017 15:00,1,1,0,15,0,54000,0.6,89,0,0,0,8.9711e+06,0,1.5577e+07,13.1366,1285.79,2091.05,0,1655.07,1512.91,6544.8,0,6544.8,13.1
01/01/2017 16:00,1,1,0,16,0,57600,0.6,89,0,0,0,8.76476e+06,0,1.02312e+07,13.1096,1040.4,1716.94,76.3559,1427.21,1238.38,5499.3,0,5499.3,13.1
01/01/2017 17:00,1,1,0,17,0,61200,0.6,89,0,0,0,9.566e+06,0,1.7592e+07,13.0826,931.913,1506.29,185.236,1310.91,1067.86,5002.2,0,5002.2,13.1
01/01/2017 18:00,1,1,0,18,0,64800,0,92,0,0,0,1.83139e+07,0,2.16822e+07,13.0558,1770.09,2693.5,441.015,2437.88,1912.58,9255.1,0,9255.1,13.1
01/01/2017 19:00,1,1,0,19,0,68400,-0.6,92,0,0,0,1.80414e+07,0,1.47655e+07,13.0289,1487.72,2204.03,559.404,2031.71,1561.58,7844.4,0,7844.4,13.0
01/01/2017 20:00,1,1,0,20,0,72000,-0.6,89,0,0,0,1.88238e+07,0,2.11377e+07,13.0022,1132.86,1635.57,568.527,1528.86,1152.03,6017.8,0,6017.8,13.0
01/01/2017 21:00,1,1,0,21,0,75600,-1.1,92,0,0,0,1.84801e+07,0,2.61213e+07,12.9754,1982.52,2905.83,672.985,2712.63,2056.65,10330.6,0,10330.6,13.0
01/01/2017 22:00,1,1,0,22,0,79200,-1.1,89,0,0,0,1.80458e+07,0,1.51471e+07,12.9488,1552.34,2261.6,569.32,2123.7,1602.29,8109.2,0,8109.2,12.9
01/01/2017 23:00,1,1,0,23,0,82800,-1.1,85,0,0,0,1.88481e+07,0,2.40151e+07,12.9222,1227.5,1841.23,781.489,1704.33,1269.58,6824.1,0,6824.1,12.9
01/02/2017 00:00,1,2,1,0,0,86400,-1.1,89,0,0,0,1.8522e+07,0,2.83852e+07,12.8956,2120.45,3078.29,948.013,2914.99,2174.23,11236.0,0,11236.0,12.9
01/02/2017 01:00,1,2,1,1,0,90000,-1.7,85,0,0,0,1.87224e+07,0,1.36221e+07,12.8691,1503.58,2171.99,0,2058.18,1542.87,7276.6,0,7276.6,12.9
01/02/2017 02:00,1,2,1,2,0,93600,-1.7,89,0,0,0,1.95526e+07,0,2.39953e+07,12.8427,1389.97,2034.23,35.8293,1920.31,1424.04,6804.4,0,6804.4,12.8
01/02/2017 03:00,1,2,1,3,0,97200,-1.7,89,0,0,0,1.91822e+07,0,2.54434e+07,13.2468,2065.57,2985.19,0,2838.45,2107.47,9996.7,0,9996.7,13.2
01/02/2017 04:00,1,2,1,4,0,100800,-1.1,89,0,0,0,1.8729e+07,0,1.41516e+07,13.5071,1568.79,2256.6,0,2156.72,1596.77,7578.9,0,7578.9,13.5
01/02/2017 05:00,1,2,1,5,0,104400,-0.6,59,0,0,0,1.95321e+07,0,2.2024e+07,13.4793,1284.3,1881.51,0,1783.97,1314.54,6264.3,0,6264.3,13.5
01/02/2017 06:00,1,2,1,6,0,108000,-1.1,89,0,0,0,2.0472e+07,0,2.50671e+07,13.4516,2038.38,2934.26,0,2816.21,2072.12,9861.0,0,9861.0,13.5
01/02/2017 07:00,1,2,1,7,0,111600,-1.1,89,0,0,0,2.92643e+07,0,1.13284e+08,13.424,8846.8,19713.3,62498,15931.4,10583.5,117573.0,0,117573.0,13.4
01/02/2017 08:00,1,2,1,8,0,115200,-1.1,89,0,0,0,3.31081e+07,0,1.12417e+08,813.613,6850.81,11202.2,34394.2,10578.3,7315.78,70341.3,0,70341.3,813.6
01/02/2017 09:00,1,2,1,9,0,118800,-1.1,89,0,0,0,4.30611e+07,0,1.06287e+08,875.129,4983.63,10059.9,27175.5,8421.48,5705.32,56345.8,0,56345.8,875.1
01/02/2017 10:00,1,2,1,10,0,122400,-0.6,89,0,0,0,4.28067e+07,0,1.01777e+08,897.723,4173.43,8391.18,22672.1,6860.26,4699.09,46796.1,0,46796.1,897.7
01/02/2017 11:00,1,2,1,11,0,126000,-0.6,89,0,0,0,4.24717e+07,0,9.62759e+07,896.484,3512.01,7398.03,19627.5,5549.23,3911.76,39998.5,0,39998.5,896.5
01/02/2017 12:00,1,2,1,12,0,129600,0,85,0,0,0,4.18519e+07,0,8.77643e+07,985.879,3000.15,6474.75,17372,4441.59,3297.49,34586.0,0,34586.0,985.9
01/02/2017 13:00,1,2,1,13,0,133200,0,82,0,0,0,3.8495e+07,0,8.49698e+07,1066.36,2830.97,5833.57,15771.5,4104.09,3098.44,31638.6,0,31638.6,1066.4
01/02/2017 14:00,1,2,1,14,0,136800,0,85,0,0,0,4.13523e+07,0,7.96206e+07,1032.29,2474.91,5307.76,13756,3601.15,2754.16,27894.0,0,27894.0,1032.3
01/02/2017 15:00,1,2,1,15,0,140400,0,89,0,0,0,4.12158e+07,0,7.68905e+07,854.332,2298.57,4770.23,11481.8,3403.32,2572.46,24526.4,0,24526.4,854.3
01/02/2017 16:00,1,2,1,16,0,144000,0,89,0,0,0,4.11987e+07,0,7.61636e+07,851.305,2286.45,4529.65,10085.1,3404.86,2515.4,22821.5,0,22821.5,851.3
01/02/2017 17:00,1,2,1,17,0,147600,0,89,0,0,0,4.10956e+07,0,7.56481e+07,940.247,2311.29,4408.37,8915.46,3443.62,2503.07,21581.8,0,21581.8,940.2
01/02/2017 18:00,1,2,1,18,0,151200,-0.6,89,0,0,0,3.53697e+07,0,8.20419e+07,763.513,2757.32,4880.54,11218.7,4037.72,2880.55,25774.8,0,25774.8,763.5
01/02/2017 19:00,1,2,1,19,0,154800,-0.6,92,0,0,0,2.59063e+07,0,8.42708e+07,760.253,2904.14,5099.18,12722.2,4232.19,2998.71,27956.4,0,27956.4,760.3
01/02/2017 20:00,1,2,1,20,0,158400,-1.1,89,0,0,0,2.15365e+07,0,0,664.956,0,0,0,0,0,0.0,0,0,665.0
01/02/2017 21:00,1,2,1,21,0,162000,-1.7,92,0,0,0,1.95189e+07,0,0,708.422,0,0,0,0,0,0.0,0,0,708.4
01/02/2017 22:00,1,2,1,22,0,165600,-1.7,85,0,0,0,1.95189e+07,0,0,618.901,0,0,0,0,0,0.0,0,0,618.9
