Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterHeaterTotalDemandHeatTransferRate,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone6,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone5,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone6,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone5,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone6,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone5,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone5,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone6,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone6,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone6,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone5,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone5,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone5,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone6,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone5,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone6,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,2.31141e+09,1.1806e+07,3.41387e+09,0,7.38445e+08,305.974,3171.94,12421.8,7542.3,4620.36,11223,16823.9,20515.3,3495.36,13495.4,18932.1,18334.5,-63381.2,0,0,10721.1,0,5351.86,0,0,0,2046.61,12258.1,4545.3,8226.65,7354.94,3596.21,8439.34,0,12769.5,0,0,0,0,0,0,8199.55,14196.3,0,0,0,0,3165.24,0,5068.61,0,0,0,0,0,0,0,0,0,-442628,0,0,-269493.9,-506009.2,236515.3,306.0
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,2.57493e+09,0,2.54469e+09,0,8.17866e+08,300.758,3267.85,12777.9,7776.96,4750.32,11564.2,17379,25525.5,3857.26,14861.3,18060,20232.6,-58910.5,0,0,13323.8,0,5063.24,0,0,0,2539.05,13491.8,5779.58,9085.24,9067.63,3427.28,8061.55,0,12101.2,0,0,0,0,0,0,10034,13467,0,0,0,0,3832.03,0,5569.44,0,0,0,0,0,0,0,0,0,-432075,0,0,-236089.8,-490985.5,254895.7,300.8
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,2.69922e+09,7.0488e+07,3.57076e+09,0,7.80619e+08,295.632,3210.25,12517.8,7640.04,4656.1,11292.8,16967.7,23930.1,3435.4,13234.9,13731.3,17981,-54886.1,0,0,10243.4,0,3887.4,0,0,0,1960.41,11991.5,4425,8088.82,6962.23,2609.3,6118.11,0,9162.41,0,0,0,0,0,0,7775.78,10313.1,0,0,0,0,2984.99,0,4963.47,0,0,0,0,0,0,0,0,0,-410790,0,0,-245592.8,-465676.1,220083.3,295.6
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,2.40687e+09,0,2.39451e+09,0,5.72128e+08,304.271,2965.54,11557.9,7066.54,4304.47,10418.5,15677.5,17797.7,2518.48,9742.76,11583.5,13164.8,-52689.5,0,0,8533.07,0,3308.28,0,0,0,1607.37,8828.64,3593.21,5929.51,5693.85,2180.21,5119.74,0,7693.76,0,0,0,0,0,0,6623.4,8767.21,0,0,0,0,2545.3,0,3654.81,0,0,0,0,0,0,0,0,0,-405166,0,0,-276979.5,-457855.5,180876.0,304.3
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,0,5.01797e+09,2.35354e+07,3.53531e+09,0,8.97606e+08,301.663,3178.41,12360.5,7563.75,4593.44,11114.8,16767.9,25059.1,3260.89,12525.2,13118.9,16991.4,-51595.4,4321.1,0,12663.1,16893.8,3702.62,14904.7,22598.5,0,2412.39,11326.6,5488.11,7674.89,8439.65,2470.64,5826.27,0,8641.74,0,0,0,0,0,0,9606.55,9865.99,0,9987.11,0,0,3665.65,0,4698.47,-3950.88,6434.68,0,0,0,0,0,0,0,-401267,0,0,-158656.4,-456813.3,298156.9,301.7
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,0,4.38454e+09,7.05906e+07,5.54644e+09,0,7.3303e+08,296.522,2945.94,11438.5,7010.18,4257.4,10301.9,15531.6,19033.1,2484.2,9563.92,10685.2,12965.6,-51077.4,3217.39,0,7015.5,12249.4,3038.53,11167.8,16433.1,0,1347.73,8661.01,2992.95,5840.17,4738.63,2020.58,4734.01,0,7139.6,0,0,0,0,0,0,5369.3,8053.58,0,7203.78,0,0,2080.02,0,3592.03,-53800,4770.74,0,0,0,0,0,0,0,-400815,0,0,-277809.0,-505692.4,227883.4,296.5
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,0,3.25399e+09,4.69519e+07,7.07699e+09,0,7.37864e+08,10671.5,2987.4,11550.4,7088.21,4309.98,10383,15674.3,14027.1,2898.53,11104,13859.5,15051.1,-59635.1,3503.18,0,7718.72,13207.1,3916.67,11938.7,17744,0,1471.32,10028.3,3273.78,6803.81,5091.98,2642.37,6187.15,0,9212.83,0,0,0,0,0,0,5937.91,10408.4,0,7851.49,0,0,2304.78,0,4176.26,-28159.5,5159.25,0,0,0,0,0,0,0,-442610,0,0,-282893.1,-530404.6,247511.5,10671.5
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,5.91803e+09,6.22555e+07,7.64587e+09,0,5.577e+08,8173.91,2914.46,11217.5,6901.99,4188.67,10116.2,15262,2980.54,2932.48,11159.9,17173.9,15217.4,-77136.4,166.938,0,2042.33,335.693,4841.99,340.918,445.28,0,482.605,10127.1,681.804,6868.42,1537.81,3271.76,7648.54,0,11373.4,0,0,0,0,0,0,1625.31,12805.6,0,166.071,0,0,803.826,0,4220.13,-110310,275.585,0,0,0,0,0,0,0,-473773,0,0,-491093.3,-661219.4,170126.2,8173.9
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,6.50167e+09,5.89593e+06,7.58935e+09,0,7.63308e+08,8197.79,2557.76,9954.86,6039.68,3732.88,9194.18,13865,-14150.4,2624.36,10043.7,19081.3,13985.1,-93767.5,0,0,330.282,0,5233.48,0,0,-650241,78.2936,9314.57,0,6092.89,383.575,3541.42,8291.53,0,12698.5,0,0,0,0,31816.7,0,112.24,13885.4,0,0,0,0,225.803,0,3806,-99352.2,0,21739.4,0,8414.81,0,5676.61,12734.9,19543.1,-434624,0,0,-1037136.8,-1292135.1,254998.3,8197.8
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,6.3147e+09,2.35031e+07,8.21502e+09,0,5.40662e+08,8153.16,0,0,0,0,0,0,0,0,0,14580.3,0,0,490.045,0,2328.04,1671.4,3971.59,2053.33,2610.85,-784135,349.477,0,510.121,0,1746.52,2549.88,5976.06,0,9719.48,2983.34,11459.7,4763.81,6023.18,25894.5,0,1560.24,10532.3,10307.1,603.392,0,16869.5,710.167,0,23.6811,-922033,869.548,16998.4,0,6755.77,0,4316.39,9233.28,15377,-424896,0,0,-1937225.6,-2131064.0,193838.4,8153.2
