Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterHeaterTotalDemandHeatTransferRate,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,0,0,3.74747e+08,0,0,55.6459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,55.6
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,0,0,3.74747e+08,0,0,55.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,55.6
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,0,0,3.74747e+08,0,0,55.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,55.6
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,0,0,3.74747e+08,0,0,55.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,55.6
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,0,237139,0,4.01716e+08,0,5.16942e+06,55.6101,19.1394,49.7307,0,0,0,0,0,301.14,0,0,0,0,0,0,0,370.0,0,370.0,55.6
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,0,0,0,3.74747e+08,0,0,55.6011,36.1218,61.5483,0,0,0,0,0,318.082,0,0,0,0,0,0,0,415.8,0,415.8,55.6
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,0,4.68979e+06,0,5.22957e+08,0,9.61609e+06,55.5921,394.74,1731.26,0,0,0,0,0,680.728,0,0,1089.09,0,0,0,0,3895.8,0,3895.8,55.6
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,3.27759e+06,7.12806e+07,7.07231e+08,0,1.03569e+07,55.5832,545.562,2449.37,0,0,0,0,0,743.437,0,0,2032.09,0,0,0,0,5770.5,0,5770.5,55.6
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,5.27843e+08,5.7225e+07,3.7471e+08,0,1.82854e+08,1775.08,670.98,3198.02,6228.43,0,0,0,0,990.015,26496.4,26743,3008.23,0,-44915.4,0,5627.52,28047.2,-44915.4,72962.6,1775.1
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,2.13761e+09,1.23615e+06,1.09149e+09,0,9.63561e+08,2451.71,9502.26,43518,5518.87,40374.3,-45454.4,10141.8,94929.7,10754,23905.7,24463.1,45666.4,8582.46,-187196,40714.6,5010.51,130431.3,-232650.4,363081.7,2451.7
