Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterHeaterTotalDemandHeatTransferRate,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,0,0,6.34095e+08,0,0,470248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127322,-127322.0,-127322.0,0,470248.0
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,0,0,3.31959e+08,0,0,1439.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1439.2
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,0,0,3.98064e+08,0,0,1432.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1432.9
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,0,0,3.32141e+08,0,0,1426.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1426.4
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,0,1.01312e+09,0,7.19705e+08,0,1.38969e+08,1419.85,12111.4,2424.64,2363.19,0,2037.4,1688.99,9822.57,9394.65,1960.3,0,0,0,0,11671.1,-95975.3,-42501.1,-95975.3,53474.2,1419.9
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,0,6.94809e+08,0,1.22172e+09,0,9.02331e+07,1413.36,9143.56,1938.07,1844.93,0,1391.27,0,6138.22,5739.94,1274.88,0,0,0,0,8806.59,-164186,-127908.5,-164186.0,36277.5,1413.4
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,0,9.8237e+08,0,1.67421e+09,0,7.48314e+07,443103,6247.18,1336.49,1281.05,0,1079.1,0,4701.72,4373.25,998.153,0,0,0,0,5967.26,-156717,-130732.8,-156717.0,25984.2,443103.0
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,2.74426e+09,0,1.65158e+09,0,0,443615,0,0,0,0,0,-14899,0,0,0,-45241.7,0,0,0,0,-130056,-190196.7,-190196.7,0,443615.0
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,1.37923e+09,3.58392e+06,1.94834e+09,0,0,443360,0,0,0,0,0,-845.864,0,0,0,-22779.8,0,0,0,0,-200815,-224440.7,-224440.7,0,443360.0
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,1.68592e+09,2.8002e+06,1.95601e+09,0,564905,242466,0,61.6026,0,0,102.428,0,0,0,0,0,0,0,0,0,-202075,-201911.0,-202075.0,164.0,242466.0
01/01/2017 11:00,1,1,0,11,0,39600,0,82,0,1.55302e+09,3.24652e+06,2.76738e+09,0,0,538886,0,0,0,0,0,0,0,0,0,0,0,0,-11.5816,0,-224765,-224776.6,-224776.6,0,538886.0
01/01/2017 12:00,1,1,0,12,0,43200,0,85,0,1.42186e+09,2.39251e+06,3.03839e+09,0,0,539379,0,0,0,-1497.58,0,0,0,0,0,0,-199.322,-283.281,-675.56,0,-244854,-247509.7,-247509.7,0,539379.0
01/01/2017 13:00,1,1,0,13,0,46800,0,89,0,1.26984e+09,3.57141e+06,2.71215e+09,0,0,512421,0,0,0,-4362.51,0,-14348,0,0,0,-30905.8,-2567.76,-901.432,-1115.11,0,-245950,-300150.6,-300150.6,0,512421.0
01/01/2017 14:00,1,1,0,14,0,50400,0.6,85,0,1.19162e+09,0,2.70275e+09,0,0,511675,0,0,0,-6323.54,0,-38245.3,0,0,0,-52639.9,-4671.68,-1122.53,-1286.12,-432.811,-239526,-344247.9,-344247.9,0,511675.0
01/01/2017 15:00,1,1,0,15,0,54000,0.6,89,0,1.30862e+09,3.31526e+06,2.43871e+09,0,0,484386,0,0,0,-3628.57,0,0,0,0,0,-3665.29,-1305.53,-662.538,-934.045,0,-226064,-236260.0,-236260.0,0,484386.0
01/01/2017 16:00,1,1,0,16,0,57600,0.6,89,0,1.4668e+09,0,2.40166e+09,0,0,484354,0,0,0,-3701.01,0,0,0,0,0,0,-1353.62,-595.025,-875.668,0,-223256,-229781.3,-229781.3,0,484354.0
01/01/2017 17:00,1,1,0,17,0,61200,0.6,89,0,1.38627e+09,2.42598e+07,2.62497e+09,0,0,484354,0,0,0,-4795.73,0,0,0,0,0,-4648.75,-2364.94,-708.28,-1056.83,0,-236919,-250493.5,-250493.5,0,484354.0
01/01/2017 18:00,1,1,0,18,0,64800,0,92,0,1.38278e+09,9.04038e+06,2.93615e+09,0,0,511558,0,0,0,-5298.1,0,-6936.33,0,0,0,-18821.9,-3271.18,-820.261,-1216.22,0,-241843,-278207.0,-278207.0,0,511558.0
01/01/2017 19:00,1,1,0,19,0,68400,-0.6,92,0,1.36846e+09,2.4254e+06,2.79445e+09,0,0,540104,0,0,0,-2707.94,0,-16706.3,0,0,0,-36705.7,-624.671,-332.797,-830.843,0,-239445,-297353.3,-297353.3,0,540104.0
01/01/2017 20:00,1,1,0,20,0,72000,-0.6,89,0,1.31912e+09,0,2.62282e+09,0,0,540766,0,0,0,-3378.91,0,-55629.1,0,0,0,-71292.3,-1573.5,-432.493,-859.821,0,-233305,-366471.1,-366471.1,0,540766.0
01/01/2017 21:00,1,1,0,21,0,75600,-1.1,92,0,1.35504e+09,0,2.61646e+09,0,0,511528,0,0,0,-3053.88,0,-63712.9,0,-1263.45,0,-78389.6,-1300.14,-376.325,-818.946,-208.256,-225031,-374154.5,-374154.5,0,511528.0
