Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterSystemsEnergyTransfer,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,WaterHeaterHeatingRate_BuildingStory1ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,WaterHeaterHeatingRate_BuildingStory1ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,WaterHeaterHeatingRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,WaterHeaterHeatingRate_BuildingStory1ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,WaterHeaterHeatingRate_BuildingStory1ThermalZone4,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
1/1/17 1:00,1,1,0,1,0,3600,-0.6,89,0,0,0,1.75E+07,0,1.95E+07,0,0,0,786.789,0,1990.16,0,803.581,0,2012.29,0,5592.8,0,5592.8,306
1/1/17 2:00,1,1,0,2,0,7200,-0.6,89,0,0,0,1.69E+07,0,1.95E+07,0,0,0,1167.74,0,2989.16,0,1218.23,0,3060.53,0,8435.7,0,8435.7,300.8
1/1/17 3:00,1,1,0,3,0,10800,-1.1,85,0,0,0,1.66E+07,0,1.12E+07,0,0,0,852.041,0,2151.27,0,885.855,0,2206.77,0,6095.9,0,6095.9,295.6
1/1/17 4:00,1,1,0,4,0,14400,-1.1,92,0,0,0,1.75E+07,0,1.61E+07,0,0,0,678.463,0,1642.21,0,676.596,0,1635.98,0,4633.2,0,4633.2,304.3
1/1/17 5:00,1,1,0,5,0,18000,-1.1,89,0,0,0,1.69E+07,0,1.93E+07,0,0,0,1164.47,0,2962.76,0,1202.11,0,3019.41,0,8348.8,0,8348.8,301.7
1/1/17 6:00,1,1,0,6,0,21600,-0.6,85,0,0,0,1.66E+07,0,1.05E+07,0,0,0,798.265,0,2017.48,0,828.788,0,2043.75,0,5688.3,0,5688.3,296.5
1/1/17 7:00,1,1,0,7,0,25200,-0.6,89,0,0,0,2.24E+07,0,1.86E+07,0,0,0,725.558,0,1895.39,0,752.56,0,1933.42,0,5306.9,0,5306.9,10668.6
1/1/17 8:00,1,1,0,8,0,28800,-0.6,85,0,0,0,2.18E+07,0,1.92E+07,0,0,0,1166.24,0,2966.98,0,1193.14,0,2973.69,0,8300.1,0,8300.1,8184.8
1/1/17 9:00,1,1,0,9,0,32400,-1.1,89,0,0,0,1.04E+07,0,1.07E+07,0,0,0,796.868,0,2090.67,0,843.509,0,2097.68,0,5828.7,0,5828.7,8185.7
1/1/17 10:00,1,1,0,10,0,36000,-0.6,89,0,0,0,1.09E+07,0,1.34E+07,0,0,0,493.75,0,1418.99,0,561.357,0,1389.11,0,3863.2,0,3863.2,8165.9
1/1/17 11:00,1,1,0,11,0,39600,0,82,0,0,0,9.93E+06,0,9.29E+06,0,0,0,600.538,0,1844.09,0,767.823,0,1857.47,0,5069.9,0,5069.9,8190.9
1/1/17 12:00,1,1,0,12,0,43200,0,85,0,0,0,1.07E+07,0,1.14E+07,0,0,0,372.899,0,1268.32,0,521.366,0,1340.7,0,3503.3,0,3503.3,8849.3
1/1/17 13:00,1,1,0,13,0,46800,0,89,0,0,0,1.07E+07,0,9.42E+06,0,0,0,204.399,0,891.684,0,451.744,0,1129.86,0,2677.7,0,2677.7,5155.6
1/1/17 14:00,1,1,0,14,0,50400,0.6,85,0,0,0,9.58E+06,0,4.32E+06,0,0,0,230.314,0,823.494,0,454.718,0,1146.77,0,2655.3,0,2655.3,11116.4
1/1/17 15:00,1,1,0,15,0,54000,0.6,89,0,0,0,1.08E+07,0,8.25E+06,0,0,0,241.562,0,711.188,0,427.024,0,1064.58,0,2444.4,0,2444.4,8939
1/1/17 16:00,1,1,0,16,0,57600,0.6,89,0,0,0,1.04E+07,0,8.18E+06,0,0,0,401.083,0,994.666,0,582.27,0,1468.14,0,3446.2,0,3446.2,8191.1
1/1/17 17:00,1,1,0,17,0,61200,0.6,89,0,0,0,1.08E+07,0,1.16E+07,0,0,0,596.351,0,1549.17,0,719.919,0,1806.61,0,4672.1,0,4672.1,8168.5
1/1/17 18:00,1,1,0,18,0,64800,0,92,0,0,0,2.24E+07,0,1.67E+07,0,0,0,617.494,0,1609.37,0,696.825,0,1739.27,0,4663,0,4663,8193.9
1/1/17 19:00,1,1,0,19,0,68400,-0.6,92,0,0,0,2.15E+07,0,1.09E+07,0,0,0,783.132,0,2045.54,0,855.35,0,2152.84,0,5836.9,0,5836.9,296.8
1/1/17 20:00,1,1,0,20,0,72000,-0.6,89,0,0,0,2.24E+07,0,1.50E+07,0,0,0,627.079,0,1508.57,0,623.091,0,1523.16,0,4281.9,0,4281.9,301.8
1/1/17 21:00,1,1,0,21,0,75600,-1.1,92,0,0,0,2.15E+07,0,1.21E+07,0,0,0,890.93,0,2296.54,0,966.986,0,2404.97,0,6559.4,0,6559.4,302.8
1/1/17 22:00,1,1,0,22,0,79200,-1.1,89,0,0,0,2.24E+07,0,1.63E+07,0,0,0,644.032,0,1662.49,0,640.783,0,1709.61,0,4656.9,0,4656.9,297.6
1/1/17 23:00,1,1,0,23,0,82800,-1.1,85,0,0,0,2.18E+07,0,1.97E+07,0,0,0,1169.24,0,2990.68,0,1238.01,0,3107.82,0,8505.8,0,8505.8,299.8
1/2/17 0:00,1,2,1,0,0,86400,-1.1,89,0,0,0,2.15E+07,0,1.16E+07,0,0,0,869.831,0,2220.17,0,918.637,0,2285.04,0,6293.7,0,6293.7,303.7
1/2/17 1:00,1,2,1,1,0,90000,-1.7,85,0,0,0,2.35E+07,0,1.82E+07,0,0,0,740.484,0,1852.32,0,756.735,0,1871.43,0,5221,0,5221,298.5
1/2/17 2:00,1,2,1,2,0,93600,-1.7,89,0,0,0,2.29E+07,0,1.99E+07,0,0,0,1195.85,0,3055.77,0,1251.8,0,3112.53,0,8616,0,8616,297.9
1/2/17 3:00,1,2,1,3,0,97200,-1.7,89,0,0,0,2.26E+07,0,1.13E+07,0,0,0,857.029,0,2164.53,0,899.145,0,2210.3,0,6131,0,6131,304.6
1/2/17 4:00,1,2,1,4,0,100800,-1.1,89,0,0,0,2.35E+07,0,1.73E+07,0,0,0,702.051,0,1778.5,0,683.916,0,1800.07,0,4964.5,0,4964.5,299.4
1/2/17 5:00,1,2,1,5,0,104400,-0.6,59,0,0,0,2.26E+07,0,1.32E+07,0,0,0,1006.16,0,2546.75,0,1050.39,0,2583.12,0,7186.4,0,7186.4,295.9
1/2/17 6:00,1,2,1,6,0,108000,-1.1,89,0,0,0,2.51E+07,0,1.82E+07,0,0,0,723.63,0,1851.46,0,751.606,0,1885.1,0,5211.8,0,5211.8,305.6
1/2/17 7:00,1,2,1,7,0,111600,-1.1,89,0,0,0,3.54E+07,0,1.24E+08,0,44544.1,0,7840.76,0,13793.6,0,10098.3,0,17845.7,0,94122.5,0,94122.5,11610.8
1/2/17 8:00,1,2,1,8,0,115200,-1.1,89,0,0,0,4.01E+07,0,1.22E+08,424139,22484.8,0,5225.75,0,11670.8,0,5624.91,0,12996,0,58002.3,0,58002.3,13228.3
1/2/17 9:00,1,2,1,9,0,118800,-1.1,89,0,0,0,5.00E+07,0,1.01E+08,1.15E+06,12765.6,0,3734.68,0,7556.37,0,4781.76,0,8627.96,0,37466.4,0,37466.4,18703.7
1/2/17 10:00,1,2,1,10,0,122400,-0.6,89,0,0,0,4.76E+07,0,8.87E+07,1.48E+06,9056.63,0,2819.53,0,6181.58,0,3823.79,0,6766.21,0,28647.7,0,28647.7,19807.8
1/2/17 11:00,1,2,1,11,0,126000,-0.6,89,0,0,0,4.64E+07,0,7.41E+07,1.49E+06,5720.54,0,2116.76,0,5201.08,0,3187.9,0,5493.75,0,21720,0,21720,20152
1/2/17 12:00,1,2,1,12,0,129600,0,85,0,0,0,4.56E+07,0,5.85E+07,1.91E+06,3809.49,0,1560.62,0,4254.6,0,2577.3,0,4561.32,0,16763.3,0,16763.3,22863.9
1/2/17 13:00,1,2,1,13,0,133200,0,82,0,0,0,4.21E+07,0,5.79E+07,2.30E+06,4169.84,0,1474.24,0,4007.55,0,2234.02,0,4380.28,0,16265.9,0,16265.9,25451
1/2/17 14:00,1,2,1,14,0,136800,0,85,0,0,0,4.53E+07,0,4.36E+07,2.13E+06,1877.93,0,1267.15,0,3330.31,0,1857.2,0,3788.49,0,12121.1,0,12121.1,25318.7
1/2/17 15:00,1,2,1,15,0,140400,0,89,0,0,0,4.56E+07,0,3.75E+07,1.28E+06,982.361,0,1215.82,0,3060.5,0,1636.66,0,3509.33,0,10404.7,0,10404.7,18564.5
1/2/17 16:00,1,2,1,16,0,144000,0,89,0,0,0,4.63E+07,0,3.58E+07,1.28E+06,482.279,0,1265.26,0,3145.99,0,1559.72,0,3472.03,0,9925.3,0,9925.3,18130.2
