Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterHeaterTotalDemandHeatTransferRate,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory9ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory9ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory9ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory9ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory9ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory10ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory10ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory10ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory10ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory10ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory8ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory7ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory6ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory5ThermalZone3,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,1.53059e+09,6.68971e+06,8.21208e+08,0,5.02642e+08,64744,4859.05,4547.86,-9428.4,-9422.95,5134.11,4484.73,5077.74,4400.33,-9481.49,-9432.94,0,-9422.27,5049.61,920,5203.69,5160.53,4407.03,4991.62,-9435.2,4332,4185.81,4707.21,-134830,3999.43,4919,936.359,0,804.174,4797.02,-18488.9,4897.75,4332.55,0,4166.82,0,6417.12,4955.13,0,4788.61,0,4184.96,4338.37,4266.76,-85820,4099.95,-629.093,4965.7,0,1017.08,4236.22,-156806.9,-296391.2,139584.3,64744.0
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,1.66183e+09,0,7.40023e+08,0,5.55965e+08,62933.7,5292.81,5013.41,-8930.55,-9047.62,5641.12,4930.72,5603.84,4867.14,-9084.7,-8933.79,0,-8925.8,5534.58,1265.22,5733.43,5704.16,4835.41,5494.66,-8935.2,4739.2,4594.61,5120.18,-131623,4356.36,5179.06,1342.46,0,1157.21,5248.66,-22586,5378.16,4549.66,0,4517.54,0,8041.25,5199.65,0,5183.44,0,4404.91,4786.18,4696.73,-84423.7,4485.57,-342.755,5425.44,0,1407.83,4620.75,-138481.8,-292833.1,154351.4,62933.7
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,1.65191e+09,0,6.37725e+08,0,4.96394e+08,62932.6,4771.86,4425.2,-8316.98,-8530.86,5004.26,4363.89,4961.48,4302.84,-8576.63,-8320.21,0,-8319.13,4934.17,996.361,5070.36,5032.52,4298.11,4881.3,-8321.68,4229.73,4113.82,4624.66,-121548,3947.72,4906.58,1039.89,0,915.482,4712.1,-21043.1,4798.28,4307.04,0,4081.31,0,6676.76,4944.91,0,4699.84,0,4191.73,4242.62,4185.02,-82687.6,4037.94,0,4858.43,0,1115.77,4148.12,-137844.1,-275664.2,137820.1,62932.6
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,1.45002e+09,0,6.34795e+08,0,3.63588e+08,62934.2,3620.42,3186.33,-8063.78,-8333.21,3646,3177.98,3600.49,3083.88,-8358.08,-8067.14,0,-8065.66,3637.81,229.11,3648.32,3607.32,3168.93,3585.95,-8068.84,3163.86,3057.29,3573.4,-119329,3038.02,4237.17,161.136,0,159.103,3565.49,-20107.6,3575.67,3721.01,0,3164.08,0,3595.78,4281.6,0,3642.91,0,3626.34,3075.47,3067.27,-82094.7,3050.92,-44.3165,3633.46,0,226.476,3151,-169572.3,-270532.3,100960.0,62934.2
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,0,1.65065e+09,0,6.35027e+08,0,4.72375e+08,62935.9,4542.28,4164.62,-7937.49,-8217.27,4728.55,4113.89,4688.04,4071.2,-8241.44,-7940.98,0,-7940.32,4674.59,907.541,4781.54,4743.45,4062.42,4625.3,-7942.83,4006.74,3912.8,4415.46,-117811,3777.96,4783.3,948.135,0,854.275,4478.17,-19941.3,4555.36,4185.66,0,3888,0,6466.94,4819.5,0,4488.87,0,4099.28,4022.3,3973.33,-81780.2,3851.6,0,4612.97,0,1017.08,3937.04,-136554.6,-267752.8,131198.2,62935.9
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,0,1.41158e+09,0,6.56191e+08,0,3.60317e+08,66674.1,3573.35,3133.05,-7825.48,-8125.83,3585.97,3125.82,3550.92,3048.61,-8150.93,-7828.79,0,-7828.91,3583.59,252.361,3595.78,3557.37,3119.77,3541.37,-7830.52,3113.19,3025.04,3530.22,-117757,3010.41,4199.96,192.916,0,198.46,3521.79,-19908.6,3533.14,3678.01,0,3119.53,0,3760.31,4236.74,0,3591.21,0,3599.31,3043.22,3036,-81526.3,3019.09,0,3576.46,0,249.54,3103.42,-166776.4,-266782.4,100005.9,66674.1
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,0,1.43882e+09,5.76731e+06,1.20613e+09,0,4.14095e+08,74349.3,4071.74,3689.63,-9311.18,-9587.22,4204.9,3652.32,4162.54,3620.48,-9623.1,-9316.11,0,-9318.32,4165.26,597.605,4249.19,4200.45,3615.31,4116.58,-9319.18,3575,3505.62,3971.76,-135856,3406.86,4419.32,591.736,0,559.615,4012.08,-16531.7,4065.54,3863.93,0,3500.36,0,3914.19,4460.18,0,4042.41,0,3799.7,3583.17,3547.25,-90791.8,3460.37,-156.812,4120.75,0,654.217,3526.19,-184885.2,-299811.4,114926.3,74349.3
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,1.36503e+09,6.16992e+06,1.52707e+09,0,4.17564e+08,74383.5,4141.98,3817.27,-11505.1,-11654.1,4330.65,3769.19,4299.77,3742.18,-11728.5,-11510.5,0,-11497.8,4276.42,653.014,4387.56,4349.71,3717.68,4241.99,-11514,3665,3596.08,4053.38,-150992,3465.13,4383.58,667.673,-461.399,612.701,4108.16,-20303.5,4178.01,3836.6,0,3559.77,0,2338.68,4419.74,0,4097.99,0,3768.26,3699.65,3650.81,-95966,3535.63,-1141.97,4217.53,0,705.269,3599.86,-222388.0,-338274.9,115886.9,74383.5
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,1.34856e+09,0,1.42026e+09,0,3.79818e+08,74411.2,3737.58,3543.77,-14512.3,-14499.5,3936.57,3493.29,3985.74,3369.8,-14578.4,-14509.7,0,-14505.3,3880.06,1062.7,3994.1,4037.61,3441.22,3926.76,-14512.3,3387.55,3218.26,3742.72,-146342,3084,4024.25,1151.36,-992.022,927.462,3790.32,-18975.1,3859.14,3521.29,0,3285.59,0,-791.382,3969.26,0,3702.81,-249.388,3344.46,3323.97,3275.39,-82759.4,3155.9,-1506.02,3815.76,-4.17397,1114.38,3320,-233313.9,-338737.0,105423.1,74411.2
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,5.77759e+08,1.12449e+07,1.25517e+09,0,1.02212e+07,76936.7,0,0,0,0,0,0,0,0,0,0,0,0,0,767.991,0,0,0,0,0,0,0,0,-136996,0,0,799.016,0,500.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81057.6,0,0,0,0,753.767,0,-215232.3,-218053.6,2821.3,76936.7
