Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterHeaterTotalDemandHeatTransferRate,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone6,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone7,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone5,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone7,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone6,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone7,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone7,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone5,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone5,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone6,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone6,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory4ThermalZone5,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,2.44804e+08,0,2.74999e+09,0,1.92663e+08,308.698,3617.54,11211.3,3749.55,9956.25,0,3369.09,2079.12,2450.72,8517.14,6855.64,0,0,0,5140.8,0,0,0,0,0,3285.38,0,0,0,2747.98,0,0,0,2923.77,0,0,2710.12,-548711,-480096.6,-548711.0,68614.4,308.7
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,3.15281e+08,0,1.77598e+09,0,2.18761e+08,303.579,4229.42,13009.8,4361.79,11311.2,0,5262.64,2961.25,3613.31,12242.5,10136.1,0,0,0,5855.44,0,0,0,0,0,3836.31,0,0,0,4027.91,0,0,0,4110.14,0,0,3153.45,0,88111.3,0,88111.3,303.6
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,2.09696e+08,0,1.97596e+09,0,1.64531e+08,298.547,3646.99,11227.4,3793.82,9826.29,0,3908.86,2192.62,2656.76,9081.66,7658.44,0,0,0,5084.47,0,0,0,0,0,3311,0,0,0,2960.77,0,0,0,3031.18,0,0,2722.94,0,71103.2,0,71103.2,298.5
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,1.93153e+08,0,1.80915e+09,0,2.02064e+08,305.939,3175.66,9767.09,3286.46,8509.51,0,2838.6,1626.66,2030.17,6773.79,5626.98,0,0,0,4407.35,0,0,0,0,0,2880.3,0,0,0,2271.79,0,0,0,2219.33,0,0,2361.52,0,57775.2,0,57775.2,305.9
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,0,2.18984e+09,1.66162e+07,3.12244e+09,0,3.73963e+08,304.924,4480.4,13811.9,4660.11,11955.2,0,5045.01,2930.49,3554.91,12084.5,9857.75,11841,5998.77,5394.9,6195.31,16294.2,0,0,5392.61,3937.49,4058.09,4756.57,0,0,3972.19,0,0,0,4061.01,0,0,3349.22,-551960,-408328.4,-551960.0,143631.6,304.9
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,0,1.48196e+09,3.09145e+07,4.80852e+09,0,2.91472e+08,299.869,4096.02,12710.1,4285.55,11039.5,0,3982.45,2341.58,2825.56,9662.2,7819.04,6877.01,3482.83,3836.64,5711.06,11167.9,0,0,3582.77,2708.5,3713.03,3311.59,0,0,3162.41,0,0,0,3208.68,0,0,3079.14,-744303,-631699.4,-744303.0,112603.6,299.9
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,0,1.46753e+09,3.3844e+07,6.36351e+09,0,3.07781e+08,12474.9,4223.94,13086.7,4440.84,11376.7,0,4647.06,2693.63,3249.21,11119.6,9043.67,5751.21,2972.09,3369.41,5880.58,9866.59,0,0,3159.75,2378.58,3828.35,2896.25,0,0,3635.33,0,0,0,3735.68,0,0,3172.46,-712399,-597871.4,-712399.0,114527.6,12474.9
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,4.08257e+09,0,5.68087e+09,0,1.9842e+08,8881.32,3618.51,11253.5,3823.7,9769.96,0,3476.36,2046.59,2478.32,8466.9,6656.54,0,0,0.846108,5047.94,0,0,0,0,0,3283.69,0,0,0,2785.5,0,0,0,2839.19,0,0,2724.86,-759058,-690785.6,-759058.0,68272.4,8881.3
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,3.98817e+09,2.71033e+07,6.92395e+09,0,2.05076e+08,8834.5,2856.97,8947.17,2938.16,7612.19,0,3207.83,1919.84,2324.18,7949.17,5994.53,0,0,0,3949,0,-87925.4,0,0,0,2594.02,0,0,0,2615.8,0,0,0,2563.79,0,0,2155.24,-865853,-896150.5,-953778.4,57627.9,8834.5
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,3.8514e+09,3.77965e+07,6.91865e+09,0,1.74389e+08,8831.65,3827.58,11833.6,3716.42,9795.35,0,3695.53,2152.13,2621.45,8923.11,6773.61,0,0,418.814,5162.07,441.079,0,0,0,80.1293,3474.25,162.989,0,0,2940.71,0,0,0,2734.42,0,0,2862.43,-842353,-770737.3,-842353.0,71615.7,8831.7
01/01/2017 11:00,1,1,0,11,0,39600,0,82,0,3.48408e+09,2.45613e+07,9.19477e+09,0,9.90808e+07,8853.69,2701.98,8370.61,2551.69,6879.12,0,3033.74,1749.71,2121.62,7250.85,5469.66,0,0,133.761,3662.02,0,0,0,0,0,2451.1,0,0,0,2381.71,0,0,0,2171.67,0,0,2027.81,-943211,-890253.9,-943211.0,52957.1,8853.7
01/01/2017 12:00,1,1,0,12,0,43200,0,85,0,3.62888e+09,2.52206e+07,1.01365e+10,0,1.53431e+08,9528.26,2186.97,6827.54,2021.06,5907.19,0,2580.82,1517.17,1804.62,6265.68,4559.44,0,0,0,3108.06,0,0,0,0,0,1992.68,0,0,0,2050.41,0,0,0,1983.39,0,0,1645.03,-1.03839e+06,-993939.9,-1038390.0,44450.1,9528.3
01/01/2017 13:00,1,1,0,13,0,46800,0,89,0,3.3429e+09,3.9303e+07,9.23175e+09,0,1.19697e+08,9535.91,2569.79,7449.34,2035.34,6718.95,0,2493.94,1316.74,1719.93,5467.29,4341.8,0,0,0,3539.18,0,0,0,0,0,2329.25,0,0,0,1950.26,0,0,0,1419.34,0,0,1804.02,-1.07404e+06,-1028884.8,-1074040.0,45155.2,9535.9
01/01/2017 14:00,1,1,0,14,0,50400,0.6,85,0,3.15057e+09,0,8.84723e+09,0,1.37863e+08,10577.4,1964.47,5545.97,1601.96,5314.15,0,2320.9,1161.45,1586.15,4827.05,4010.01,0,0,0,2768.17,0,-267525,0,0,0,1785.66,0,0,0,1797.52,0,0,0,1348.89,0,0,1335.57,-1.05472e+06,-1284877.1,-1322245.0,37367.9,10577.4
01/01/2017 15:00,1,1,0,15,0,54000,0.6,89,0,3.33919e+09,5.61407e+07,8.60323e+09,0,1.02176e+08,9563.06,2304.31,6216.68,1910.61,5991.31,0,2322.14,1105.23,1562.79,4598.92,4044.41,0,0,0,3147.64,0,-9660.66,0,0,0,2083.54,0,0,0,1765.23,0,0,0,1384.03,0,0,1503.95,-979178,-948897.9,-988838.7,39940.8,9563.1
01/01/2017 16:00,1,1,0,16,0,57600,0.6,89,0,3.24234e+09,4.90186e+07,8.4255e+09,0,1.11487e+08,8841.91,2238.34,6090.36,2073.07,6396.27,0,3200.39,1513.63,2125.29,6300.57,5755.65,0,0,0,3293.13,0,0,0,0,0,2040.34,0,0,0,2385.92,0,0,0,2072.65,0,0,1464.17,-954661,-907711.2,-954661.0,46949.8,8841.9
01/01/2017 17:00,1,1,0,17,0,61200,0.6,89,0,3.12834e+09,1.28641e+08,9.1577e+09,0,1.65256e+08,8841.67,2872.14,7694.29,2633.96,7502.91,0,2510.46,1337.75,1584.58,5545.55,4629.42,0,0,0,3926.05,0,-21690.9,0,0,0,2597.41,0,0,0,1784.32,0,0,0,1935.45,0,0,1861.92,-1.01385e+06,-987124.7,-1035540.9,48416.2,8841.7
01/01/2017 18:00,1,1,0,18,0,64800,0,92,0,3.63415e+09,4.14197e+07,1.00764e+10,0,1.89186e+08,8853.08,3649.12,10693.6,3573.38,9794.99,0,3338.83,1761.36,2324.99,7299.84,6130.67,0,0,0,5084.19,0,0,0,0,0,3310.9,0,0,0,2617.34,0,0,0,2406.36,0,0,2584.08,-1.04728e+06,-982710.4,-1047280.0,64569.7,8853.1
01/01/2017 19:00,1,1,0,19,0,68400,-0.6,92,0,3.68226e+09,4.98285e+07,9.78116e+09,0,1.70206e+08,8819.76,3131.77,9378.24,3112.86,8350.41,0,3790.4,2078.79,2634.93,8615.77,7021.85,0,0,0,4335.12,0,-176381,0,0,0,2842.26,0,0,0,2958.06,0,0,0,2831.65,0,0,2270.39,-1.07052e+06,-1183548.5,-1246901.0,63352.5,8819.8
01/01/2017 20:00,1,1,0,20,0,72000,-0.6,89,0,3.53167e+09,5.36188e+07,9.28397e+09,0,1.94609e+08,8852.2,2461.64,7286.09,2430.35,7132.04,0,3533.21,1962.98,2475.96,8129.52,6547.93,0,0,0,3634.09,0,-297326,0,0,0,2244.59,0,0,0,2784.03,0,0,0,2671.72,0,0,1749.86,-1.06461e+06,-1306892.0,-1361936.0,55044.0,8852.2
